Spec,RunConfig,UniqueIdentifier,TIMEOUT,ActionType,Result,CONFIG_TXT,INITIAL_BDD_TIME,HEURISTICS_TIME,SECOND_STEP_TIME,PARALLEL_OVERHEAD_TIME,WORK_TIME,TOTAL_TIME,PRE_ROYBDD_ORDER,POST_HEURISTICS_ORDER,POST_SECOND_STEP_ORDER,POST_WORK_ORDER,PRE_ROYBDD_NODE_SIZE,POST_HEURISTICS_NODE_SIZE,POST_SECOND_STEP_NODE_SIZE,POST_WORK_NODE_SIZE,AVERAGE_AUX_SIZE,AVERAGE_SYS_DOM_IN_CONSTRAINT,AVERAGE_ENV_DOM_IN_CONSTRAINT,AVERAGE_SYS_DOM_SIZE,AVERAGE_ENV_DOM_SIZE,AVERAGE_CONSTRAINT_COMPLEXITY,INTERCONNECTNESS_INDEX,TOTAL_REORDER_TIME,REORDER_CALL_AMOUNT,AVERAGE_REORDER_TIME,AVERAGE_REORDER_GAIN,Z_FIXPOINTS,Y_FIXPOINTS,X_FIXPOINTS,W_FIXPOINTS,REAL_CASES,UNREAL_CASES,REAL_TIME,UNREAL_TIME,GRAPH_DATA,CLUSTER_INC_DATA,CLUSTER_VAR_DATA,DOMAIN_GRAPH_DATA,CONSTRAINT_GRAPH_DATA,JUST_STRING_COUNT,JUST_STRING_ENV_COUNT,TRANS_STRING_SYS_COUNT,TRANS_STRING_ENV_COUNT,INI_STRING_ENV_COUNT,INI_STRING_SYS_COUNT,TOTAL_VARS,SYS_VARS,ENV_VARS,AUX_VARS,UNUSED_CONS_VARS,ARRAYS_INSTANCES,TOTAL_DOMS,SYS_DOMS,ENV_DOMS,AUX_DOMS,DOMS_NOT_QUANTIFIED,INI_SYS_CONSTRAINTS,INI_ENV_CONSTRAINTS,TRANS_ENV_CONSTRAINTS,TRANS_SYS_CONSTRAINTS,JUSTICE_SYS_AMOUNT,JUSTICE_ENV_AMOUNT,Z_SAT_COUNT,Z_SAT_COUNT_START_S0,TRANS_ENV_SAT,TRANS_SYS_SAT,JUSTS_SYS_SAT,JUSTS_ENV_SAT,INI_ENV_SAT,INI_SYS_SAT,FACTORY_TYPE,BDDPACKAGE,IMPORT,UNIQUE_PATTERNS,PATTERN_INSTANCES,TRIGGER_INSTANCES,MONITORS_INSTANCES,COUNTERS_INSTANCES,REDUCED_PATTERN,REDUCED_TRIGGER,SWAPPED_TO_ORIGINAL,ADDITIONAL
1669966004,NOTHING,1669966004.spectra,0,KIND_REALIZABILITY,SYS_UNREAL_KIND,"TEMP: false, SORT_AFTERWARDS: false, GROUP_OPTION: NO_GROUPING, INCREMENTAL_ADDITION: NO_INCREMENTAL, USE_RABIN: false, GROUP_AUX: NO_GROUPING, STATIC_ORDER: NO_STATIC_ORDERING, ROY_SIFT_MARKER: false, MAKE_LAST: false, MEMORYLESS: false, REORDER_METHOD: SIFT, NEW_PATTERN: false, INCREMENTAL_JUSTICES: NO_INCREMENTAL, REDUCED_ALGORITHM: FALSE, PARALLEL: false, ORIGINAL: false, BUCHI_INTERSECTION: false, NEW_TRIGGER: false, PARTITIONED: SINGLE_FUNC, VERIFICATION: true, CREATE_GRAPH: false",2116,16,453,-1,196406,198991,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69]","[40, 38, 5, 36, 2, 0, 3, 1, 4, 15, 12, 14, 17, 13, 16, 24, 27, 26, 29, 28, 25, 58, 59, 60, 11, 8, 9, 6, 7, 62, 61, 63, 69, 68, 67, 10, 20, 23, 18, 21, 22, 19, 37, 39, 30, 64, 31, 65, 41, 34, 32, 33, 35, 66, 57, 44, 56, 55, 54, 42, 45, 46, 43, 47, 49, 50, 48, 53, 52, 51]","[40, 38, 36, 2, 5, 1, 4, 0, 3, 14, 17, 12, 15, 13, 16, 26, 29, 28, 25, 62, 63, 60, 59, 58, 61, 6, 9, 7, 24, 27, 10, 69, 22, 19, 21, 18, 68, 67, 39, 37, 30, 31, 41, 33, 34, 11, 35, 20, 32, 23, 8, 66, 65, 46, 45, 57, 56, 55, 54, 43, 42, 47, 44, 64, 50, 49, 48, 53, 52, 51]",314,314,13370,792756,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,60961.0,15,4064.066666666667,-6087.8,,,,,0,0,0,0,,,,,,,,,,,,70,,,NOT_IMPLEMENTED,,false,30,"robotY,robotY',robotX,robotX'","targetBX,targetBX',$PATTERN:1.ENV_CONSTRAINT.1.S_responds_to_P_globally.state,$PATTERN:1.ENV_CONSTRAINT.1.S_responds_to_P_globally.state',isBBlocked,isBBlocked',isCBlocked,isCBlocked',isABlocked,isABlocked',targetBY,targetBY',targetAX,targetAX',MObstacleX,MObstacleX',$PATTERN:0.ENV_CONSTRAINT.0.S_responds_to_P_globally.state,$PATTERN:0.ENV_CONSTRAINT.0.S_responds_to_P_globally.state',targetCX,targetCX',MObstacleY,MObstacleY',targetAY,targetAY',targetCY,targetCY'",0,,,,,,4,8,0,0,420753899520,36026737088224296960,40064022285087932416,6475960091376659464192,15041319067975680,17736239797279653888,CUDD,"Using BDD Package: CUDDFactory, Version: CUDD 3.0","import ""DwyerPatternsNew.spectra""",S_responds_to_P_globally,2,0,false,false,[],[],,null
1669966004,FINAL,1669966004.spectra,0,KIND_REALIZABILITY,SYS_UNREAL_KIND,"TEMP: false, SORT_AFTERWARDS: false, GROUP_OPTION: NO_GROUPING, INCREMENTAL_ADDITION: NO_INCREMENTAL, USE_RABIN: false, GROUP_AUX: GROUP_PAIR, STATIC_ORDER: REVERSE_CUTHILL, ROY_SIFT_MARKER: false, MAKE_LAST: false, MEMORYLESS: true, REORDER_METHOD: SIFT, NEW_PATTERN: true, INCREMENTAL_JUSTICES: INCREMENTAL_GRAPH, REDUCED_ALGORITHM: FALSE, PARALLEL: false, ORIGINAL: false, BUCHI_INTERSECTION: false, NEW_TRIGGER: true, PARTITIONED: SINGLE_FUNC, VERIFICATION: true, CREATE_GRAPH: false",2047,109,735,-1,241892,244783,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69]","[33, 34, 35, 27, 28, 29, 40, 41, 37, 9, 10, 11, 3, 4, 5, 39, 38, 21, 22, 23, 16, 17, 15, 67, 68, 69, 61, 62, 63, 51, 52, 53, 32, 30, 31, 24, 25, 26, 64, 65, 66, 58, 59, 60, 48, 49, 50, 6, 7, 8, 0, 1, 2, 18, 19, 20, 12, 13, 14, 36, 54, 55, 45, 46, 47, 42, 43, 44, 57, 56]","[40, 69, 35, 67, 36, 32, 30, 38, 33, 68, 31, 34, 26, 29, 24, 27, 25, 28, 11, 8, 9, 6, 10, 7, 20, 23, 21, 18, 66, 22, 19, 64, 65, 39, 37, 62, 61, 60, 59, 58, 41, 63, 3, 15, 4, 16, 1, 5, 0, 2, 12, 17, 14, 13, 48, 49, 50, 52, 51, 53, 44, 56, 57, 55, 54, 47, 46, 45, 42, 43]","[40, 38, 36, 20, 32, 35, 34, 31, 23, 26, 29, 24, 27, 28, 25, 8, 11, 7, 10, 22, 19, 30, 33, 18, 21, 14, 17, 13, 16, 12, 15, 69, 63, 9, 6, 68, 62, 41, 39, 2, 67, 1, 60, 0, 59, 37, 58, 4, 61, 3, 5, 46, 45, 66, 65, 64, 55, 54, 57, 56, 43, 42, 47, 44, 50, 48, 49, 53, 52, 51]",314,312,16258,498311,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,68829.0,19,3622.578947368422,-23971.368421052623,,,,,0,0,0,0,,,,,,,,,,,,70,,,NOT_IMPLEMENTED,,false,30,"robotY,robotY',robotX,robotX'","MObstacleY,MObstacleY',targetAX,targetAX',isABlocked,isABlocked',targetCX,targetCX',$PATTERN:0.ENV_CONSTRAINT.0.S_responds_to_P_globally.state,$PATTERN:0.ENV_CONSTRAINT.0.S_responds_to_P_globally.state',targetAY,targetAY',isBBlocked,isBBlocked',isCBlocked,isCBlocked',targetCY,targetCY',targetBX,targetBX',$PATTERN:1.ENV_CONSTRAINT.1.S_responds_to_P_globally.state,$PATTERN:1.ENV_CONSTRAINT.1.S_responds_to_P_globally.state',MObstacleX,MObstacleX',targetBY,targetBY'",0,,,,,,4,8,0,0,420753899520,36026737088224296960,40064022285087932416,6475960091376659464192,15041319067975680,17736239797279653888,CUDD,"Using BDD Package: CUDDFactory, Version: CUDD 3.0","import ""DwyerPatternsNewReduced.spectra""",S_responds_to_P_globally,2,0,false,false,[],[],,null
1669966849,NOTHING,1669966849.spectra,0,KIND_REALIZABILITY,SYS_UNREAL_KIND,"TEMP: false, SORT_AFTERWARDS: false, GROUP_OPTION: NO_GROUPING, INCREMENTAL_ADDITION: NO_INCREMENTAL, USE_RABIN: false, GROUP_AUX: NO_GROUPING, STATIC_ORDER: NO_STATIC_ORDERING, ROY_SIFT_MARKER: false, MAKE_LAST: false, MEMORYLESS: false, REORDER_METHOD: SIFT, NEW_PATTERN: false, INCREMENTAL_JUSTICES: NO_INCREMENTAL, REDUCED_ALGORITHM: FALSE, PARALLEL: false, ORIGINAL: false, BUCHI_INTERSECTION: false, NEW_TRIGGER: false, PARTITIONED: SINGLE_FUNC, VERIFICATION: true, CREATE_GRAPH: false",2205,10,475,-1,138203,140893,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]","[2, 5, 0, 3, 1, 4, 14, 17, 15, 12, 13, 56, 55, 16, 6, 9, 29, 26, 24, 27, 57, 63, 62, 61, 53, 25, 28, 52, 54, 8, 11, 10, 36, 7, 23, 20, 21, 18, 38, 22, 19, 40, 59, 39, 37, 31, 41, 58, 60, 30, 32, 34, 33, 35, 51, 44, 50, 49, 48, 47, 43, 42, 46, 45]","[40, 38, 36, 2, 5, 0, 3, 1, 4, 8, 14, 17, 12, 15, 13, 16, 7, 10, 11, 6, 9, 26, 29, 24, 27, 25, 28, 57, 56, 54, 55, 53, 52, 63, 62, 21, 18, 22, 19, 61, 39, 30, 31, 41, 33, 34, 32, 23, 35, 20, 59, 58, 37, 46, 45, 60, 43, 42, 49, 48, 50, 51, 44, 47]",283,283,11982,659164,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,38615.0,16,2413.4375,-10499.5,,,,,0,0,0,0,,,,,,,,,,,,64,,,NOT_IMPLEMENTED,,false,28,"robotY,robotY',robotX,robotX'","$PATTERN:1.ENV_CONSTRAINT.1.S_responds_to_P_globally.state,$PATTERN:1.ENV_CONSTRAINT.1.S_responds_to_P_globally.state',targetBY,targetBY',targetCY,targetCY',targetBX,targetBX',targetCX,targetCX',targetAY,targetAY',isABlocked,isABlocked',targetAX,targetAX',isCBlocked,isCBlocked',isBBlocked,isBBlocked',$PATTERN:0.ENV_CONSTRAINT.0.S_responds_to_P_globally.state,$PATTERN:0.ENV_CONSTRAINT.0.S_responds_to_P_globally.state',MObstacleX,MObstacleX'",0,,,,,,4,8,0,0,84218019840,550408483292315648,626000348204498944,101186876427760304128,13913220137877504,281527615829835776,CUDD,"Using BDD Package: CUDDFactory, Version: CUDD 3.0","import ""DwyerPatternsNew.spectra""",S_responds_to_P_globally,2,0,false,false,[],[],,null
1669966849,FINAL,1669966849.spectra,0,KIND_REALIZABILITY,SYS_UNREAL_KIND,"TEMP: false, SORT_AFTERWARDS: false, GROUP_OPTION: NO_GROUPING, INCREMENTAL_ADDITION: NO_INCREMENTAL, USE_RABIN: false, GROUP_AUX: GROUP_PAIR, STATIC_ORDER: REVERSE_CUTHILL, ROY_SIFT_MARKER: false, MAKE_LAST: false, MEMORYLESS: true, REORDER_METHOD: SIFT, NEW_PATTERN: true, INCREMENTAL_JUSTICES: INCREMENTAL_GRAPH, REDUCED_ALGORITHM: FALSE, PARALLEL: false, ORIGINAL: false, BUCHI_INTERSECTION: false, NEW_TRIGGER: true, PARTITIONED: SINGLE_FUNC, VERIFICATION: true, CREATE_GRAPH: false",1953,100,368,-1,182196,184617,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63]","[33, 34, 35, 27, 28, 29, 9, 10, 11, 3, 4, 5, 21, 22, 23, 16, 17, 15, 37, 40, 39, 38, 41, 61, 62, 63, 55, 56, 57, 32, 30, 31, 24, 25, 26, 6, 7, 8, 0, 1, 2, 18, 19, 20, 12, 13, 14, 36, 48, 49, 58, 59, 60, 52, 53, 54, 45, 46, 47, 42, 43, 44, 51, 50]","[32, 35, 30, 33, 31, 34, 9, 6, 8, 11, 7, 10, 21, 18, 20, 23, 60, 58, 59, 19, 22, 5, 2, 1, 4, 36, 0, 61, 62, 3, 16, 63, 55, 56, 57, 53, 25, 40, 15, 28, 29, 54, 52, 39, 26, 27, 24, 38, 37, 41, 17, 13, 14, 12, 44, 50, 51, 49, 48, 47, 46, 45, 43, 42]","[40, 38, 36, 32, 35, 30, 33, 6, 9, 8, 11, 7, 10, 1, 4, 2, 5, 0, 3, 63, 61, 62, 60, 59, 58, 21, 57, 56, 55, 54, 37, 53, 52, 22, 34, 28, 41, 15, 39, 27, 31, 29, 19, 25, 24, 16, 18, 26, 23, 13, 12, 17, 14, 20, 45, 46, 42, 43, 47, 49, 48, 51, 50, 44]",283,281,16834,515172,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,52744.0,18,2930.222222222223,-10673.611111111111,,,,,0,0,0,0,,,,,,,,,,,,64,,,NOT_IMPLEMENTED,,false,28,"robotY,robotY',robotX,robotX'","$PATTERN:0.ENV_CONSTRAINT.0.S_responds_to_P_globally.state,$PATTERN:0.ENV_CONSTRAINT.0.S_responds_to_P_globally.state',targetCX,targetCX',targetAX,targetAX',targetBY,targetBY',targetCY,targetCY',isABlocked,isABlocked',isCBlocked,isCBlocked',targetBX,targetBX',isBBlocked,isBBlocked',$PATTERN:1.ENV_CONSTRAINT.1.S_responds_to_P_globally.state,$PATTERN:1.ENV_CONSTRAINT.1.S_responds_to_P_globally.state',MObstacleX,MObstacleX',targetAY,targetAY'",0,,,,,,4,8,0,0,84218019840,550408483292315648,626000348204498944,101186876427760304128,13913220137877504,281527615829835776,CUDD,"Using BDD Package: CUDDFactory, Version: CUDD 3.0","import ""DwyerPatternsNewReduced.spectra""",S_responds_to_P_globally,2,0,false,false,[],[],,null
1669966483,NOTHING,1669966483.spectra,0,KIND_REALIZABILITY,SYS_UNREAL_KIND,"TEMP: false, SORT_AFTERWARDS: false, GROUP_OPTION: NO_GROUPING, INCREMENTAL_ADDITION: NO_INCREMENTAL, USE_RABIN: false, GROUP_AUX: NO_GROUPING, STATIC_ORDER: NO_STATIC_ORDERING, ROY_SIFT_MARKER: false, MAKE_LAST: false, MEMORYLESS: false, REORDER_METHOD: SIFT, NEW_PATTERN: false, INCREMENTAL_JUSTICES: NO_INCREMENTAL, REDUCED_ALGORITHM: FALSE, PARALLEL: false, ORIGINAL: false, BUCHI_INTERSECTION: false, NEW_TRIGGER: false, PARTITIONED: SINGLE_FUNC, VERIFICATION: true, CREATE_GRAPH: false",2077,17,426,-1,243357,245877,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69]","[2, 5, 0, 3, 1, 4, 8, 11, 6, 9, 7, 10, 36, 12, 15, 14, 17, 13, 16, 28, 25, 26, 29, 60, 59, 58, 24, 27, 23, 20, 62, 61, 63, 69, 67, 68, 21, 18, 38, 22, 19, 40, 37, 39, 30, 64, 31, 65, 41, 33, 32, 34, 35, 66, 57, 44, 56, 55, 54, 42, 45, 46, 43, 47, 48, 50, 49, 53, 51, 52]","[40, 38, 36, 0, 2, 5, 3, 1, 4, 8, 11, 7, 10, 6, 9, 14, 17, 26, 29, 60, 59, 25, 28, 63, 62, 58, 13, 12, 16, 15, 24, 27, 61, 69, 68, 37, 19, 18, 31, 67, 39, 30, 22, 21, 34, 41, 33, 35, 32, 20, 46, 66, 65, 45, 64, 23, 55, 54, 57, 56, 43, 42, 47, 44, 50, 49, 48, 53, 52, 51]",314,314,16321,769686,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,93965.0,15,6264.333333333334,-8946.266666666668,,,,,0,0,0,0,,,,,,,,,,,,70,,,NOT_IMPLEMENTED,,false,30,"robotX,robotX',robotY,robotY'","isCBlocked,isCBlocked',targetAX,targetAX',targetCY,targetCY',targetBY,targetBY',targetBX,targetBX',$PATTERN:1.ENV_CONSTRAINT.1.S_responds_to_P_globally.state,$PATTERN:1.ENV_CONSTRAINT.1.S_responds_to_P_globally.state',MObstacleX,MObstacleX',MObstacleY,MObstacleY',isBBlocked,isBBlocked',targetAY,targetAY',isABlocked,isABlocked',$PATTERN:0.ENV_CONSTRAINT.0.S_responds_to_P_globally.state,$PATTERN:0.ENV_CONSTRAINT.0.S_responds_to_P_globally.state',targetCX,targetCX'",0,,,,,,4,8,0,0,420753899520,36026737088224296960,40064022285087932416,6475960091376659464192,111305761103020032,17736239797279653888,CUDD,"Using BDD Package: CUDDFactory, Version: CUDD 3.0","import ""DwyerPatternsNew.spectra""",S_responds_to_P_globally,2,0,false,false,[],[],,null
1669966483,FINAL,1669966483.spectra,0,KIND_REALIZABILITY,SYS_UNREAL_KIND,"TEMP: false, SORT_AFTERWARDS: false, GROUP_OPTION: NO_GROUPING, INCREMENTAL_ADDITION: NO_INCREMENTAL, USE_RABIN: false, GROUP_AUX: GROUP_PAIR, STATIC_ORDER: REVERSE_CUTHILL, ROY_SIFT_MARKER: false, MAKE_LAST: false, MEMORYLESS: true, REORDER_METHOD: SIFT, NEW_PATTERN: true, INCREMENTAL_JUSTICES: INCREMENTAL_GRAPH, REDUCED_ALGORITHM: FALSE, PARALLEL: false, ORIGINAL: false, BUCHI_INTERSECTION: false, NEW_TRIGGER: true, PARTITIONED: SINGLE_FUNC, VERIFICATION: true, CREATE_GRAPH: false",2035,111,981,-1,191502,194629,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69]","[33, 34, 35, 27, 28, 29, 40, 41, 37, 9, 10, 11, 3, 4, 5, 39, 21, 22, 23, 16, 17, 15, 38, 67, 68, 69, 61, 62, 63, 51, 52, 53, 32, 30, 31, 24, 25, 26, 64, 65, 66, 58, 59, 60, 48, 49, 50, 6, 7, 8, 0, 1, 2, 18, 19, 20, 12, 13, 14, 36, 54, 55, 45, 46, 47, 42, 43, 44, 57, 56]","[40, 69, 35, 68, 67, 32, 30, 33, 31, 34, 24, 27, 29, 28, 26, 25, 6, 9, 11, 8, 10, 7, 18, 21, 23, 20, 36, 66, 22, 19, 38, 65, 64, 37, 39, 63, 60, 59, 41, 61, 58, 62, 12, 1, 13, 17, 16, 0, 14, 15, 5, 2, 49, 48, 50, 53, 51, 52, 44, 4, 3, 56, 57, 55, 54, 47, 46, 45, 43, 42]","[40, 38, 36, 32, 35, 31, 34, 20, 23, 26, 29, 24, 27, 28, 25, 30, 33, 8, 11, 18, 21, 10, 7, 19, 22, 69, 14, 17, 13, 16, 12, 15, 6, 9, 68, 41, 39, 63, 62, 2, 60, 67, 1, 59, 37, 58, 61, 0, 4, 3, 5, 66, 65, 64, 45, 46, 43, 42, 47, 55, 54, 56, 57, 44, 50, 48, 49, 53, 52, 51]",314,312,17098,523528,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,NOT_IMPLEMENTED,33252.0,19,1750.1052631578955,-15094.052631578952,,,,,0,0,0,0,,,,,,,,,,,,70,,,NOT_IMPLEMENTED,,false,30,"robotX,robotX',robotY,robotY'","targetAX,targetAX',MObstacleY,MObstacleY',targetAY,targetAY',$PATTERN:0.ENV_CONSTRAINT.0.S_responds_to_P_globally.state,$PATTERN:0.ENV_CONSTRAINT.0.S_responds_to_P_globally.state',targetCX,targetCX',isABlocked,isABlocked',$PATTERN:1.ENV_CONSTRAINT.1.S_responds_to_P_globally.state,$PATTERN:1.ENV_CONSTRAINT.1.S_responds_to_P_globally.state',MObstacleX,MObstacleX',isBBlocked,isBBlocked',isCBlocked,isCBlocked',targetBY,targetBY',targetCY,targetCY',targetBX,targetBX'",0,,,,,,4,8,0,0,420753899520,36026737088224296960,40064022285087932416,6475960091376659464192,111305761103020032,17736239797279653888,CUDD,"Using BDD Package: CUDDFactory, Version: CUDD 3.0","import ""DwyerPatternsNewReduced.spectra""",S_responds_to_P_globally,2,0,false,false,[],[],,null
